numeric_id,file,line,excerpt,numeric_expression,normalized_value,classification,authoritative_source,exact_source_location,source_value,sampling_condition,estimator,dataset,status,required_action,notes
N0197,thesis-writing/thesis/chapters/05_proxy_state_construction.tex,93,\begin{longtable}{@{}p{0.19\textwidth}p{0.16\textwidth}p{0.24\textwidth}p{0.27\textwidth}p{0.10\textwidth}@{}},0.19,0.19,METHOD_PARAMETER,methods specification and implementation audit,thesis-writing/thesis/chapters/05_proxy_state_construction.tex,0.19,NOT_APPLICABLE,NOT_APPLICABLE,BOTH_OR_NOT_APPLICABLE,SOURCE_SUPPORTED,NONE,Method/design parameter; not an added aggregate.
N0198,thesis-writing/thesis/chapters/05_proxy_state_construction.tex,93,\begin{longtable}{@{}p{0.19\textwidth}p{0.16\textwidth}p{0.24\textwidth}p{0.27\textwidth}p{0.10\textwidth}@{}},0.16,0.16,METHOD_PARAMETER,methods specification and implementation audit,thesis-writing/thesis/chapters/05_proxy_state_construction.tex,0.16,NOT_APPLICABLE,NOT_APPLICABLE,BOTH_OR_NOT_APPLICABLE,SOURCE_SUPPORTED,NONE,Method/design parameter; not an added aggregate.
N0199,thesis-writing/thesis/chapters/05_proxy_state_construction.tex,93,\begin{longtable}{@{}p{0.19\textwidth}p{0.16\textwidth}p{0.24\textwidth}p{0.27\textwidth}p{0.10\textwidth}@{}},0.24,0.24,METHOD_PARAMETER,methods specification and implementation audit,thesis-writing/thesis/chapters/05_proxy_state_construction.tex,0.24,NOT_APPLICABLE,NOT_APPLICABLE,BOTH_OR_NOT_APPLICABLE,SOURCE_SUPPORTED,NONE,Method/design parameter; not an added aggregate.
N0200,thesis-writing/thesis/chapters/05_proxy_state_construction.tex,93,\begin{longtable}{@{}p{0.19\textwidth}p{0.16\textwidth}p{0.24\textwidth}p{0.27\textwidth}p{0.10\textwidth}@{}},0.27,0.27,METHOD_PARAMETER,methods specification and implementation audit,thesis-writing/thesis/chapters/05_proxy_state_construction.tex,0.27,NOT_APPLICABLE,NOT_APPLICABLE,BOTH_OR_NOT_APPLICABLE,SOURCE_SUPPORTED,NONE,Method/design parameter; not an added aggregate.
N0201,thesis-writing/thesis/chapters/05_proxy_state_construction.tex,93,\begin{longtable}{@{}p{0.19\textwidth}p{0.16\textwidth}p{0.24\textwidth}p{0.27\textwidth}p{0.10\textwidth}@{}},0.10,0.10,METHOD_PARAMETER,methods specification and implementation audit,thesis-writing/thesis/chapters/05_proxy_state_construction.tex,0.10,NOT_APPLICABLE,NOT_APPLICABLE,BOTH_OR_NOT_APPLICABLE,SOURCE_SUPPORTED,NONE,Method/design parameter; not an added aggregate.
N0202,thesis-writing/thesis/chapters/05_proxy_state_construction.tex,106,"\texttt{LAT\_CHRONIC\_BASELINE\_RISK} & Baseline vulnerability or limited reserve. & Age first value; BMI from height and weight first values; albumin minimum; ICU type first value. & Score at least 2 across age \(\ge 75\), BMI \(<18.5\) or \(\ge 40\), albumin \(<3.0\), or ICU type in \(\{1,3\}\). & Phenotyping context \cite{banda_2018_electronic_phenotyping",2,2,EQUATION_OR_SYMBOL,methods equation/specification,thesis-writing/thesis/chapters/05_proxy_state_construction.tex:2,2,NOT_APPLICABLE,NOT_APPLICABLE,BOTH_OR_NOT_APPLICABLE,SOURCE_SUPPORTED,NONE,Equation symbol or parameter.
N0203,thesis-writing/thesis/chapters/05_proxy_state_construction.tex,106,"\texttt{LAT\_CHRONIC\_BASELINE\_RISK} & Baseline vulnerability or limited reserve. & Age first value; BMI from height and weight first values; albumin minimum; ICU type first value. & Score at least 2 across age \(\ge 75\), BMI \(<18.5\) or \(\ge 40\), albumin \(<3.0\), or ICU type in \(\{1,3\}\). & Phenotyping context \cite{banda_2018_electronic_phenotyping",75,75,EQUATION_OR_SYMBOL,methods equation/specification,thesis-writing/thesis/chapters/05_proxy_state_construction.tex:75,75,NOT_APPLICABLE,NOT_APPLICABLE,BOTH_OR_NOT_APPLICABLE,SOURCE_SUPPORTED,NONE,Equation symbol or parameter.
N0204,thesis-writing/thesis/chapters/05_proxy_state_construction.tex,106,"\texttt{LAT\_CHRONIC\_BASELINE\_RISK} & Baseline vulnerability or limited reserve. & Age first value; BMI from height and weight first values; albumin minimum; ICU type first value. & Score at least 2 across age \(\ge 75\), BMI \(<18.5\) or \(\ge 40\), albumin \(<3.0\), or ICU type in \(\{1,3\}\). & Phenotyping context \cite{banda_2018_electronic_phenotyping",18.5,18.5,EQUATION_OR_SYMBOL,methods equation/specification,thesis-writing/thesis/chapters/05_proxy_state_construction.tex:18.5,18.5,NOT_APPLICABLE,NOT_APPLICABLE,BOTH_OR_NOT_APPLICABLE,SOURCE_SUPPORTED,NONE,Equation symbol or parameter.
N0205,thesis-writing/thesis/chapters/05_proxy_state_construction.tex,106,"\texttt{LAT\_CHRONIC\_BASELINE\_RISK} & Baseline vulnerability or limited reserve. & Age first value; BMI from height and weight first values; albumin minimum; ICU type first value. & Score at least 2 across age \(\ge 75\), BMI \(<18.5\) or \(\ge 40\), albumin \(<3.0\), or ICU type in \(\{1,3\}\). & Phenotyping context \cite{banda_2018_electronic_phenotyping",40,40,EQUATION_OR_SYMBOL,methods equation/specification,thesis-writing/thesis/chapters/05_proxy_state_construction.tex:40,40,NOT_APPLICABLE,NOT_APPLICABLE,BOTH_OR_NOT_APPLICABLE,SOURCE_SUPPORTED,NONE,Equation symbol or parameter.
N0206,thesis-writing/thesis/chapters/05_proxy_state_construction.tex,106,"\texttt{LAT\_CHRONIC\_BASELINE\_RISK} & Baseline vulnerability or limited reserve. & Age first value; BMI from height and weight first values; albumin minimum; ICU type first value. & Score at least 2 across age \(\ge 75\), BMI \(<18.5\) or \(\ge 40\), albumin \(<3.0\), or ICU type in \(\{1,3\}\). & Phenotyping context \cite{banda_2018_electronic_phenotyping",3.0,3.0,EQUATION_OR_SYMBOL,methods equation/specification,thesis-writing/thesis/chapters/05_proxy_state_construction.tex:3.0,3.0,NOT_APPLICABLE,NOT_APPLICABLE,BOTH_OR_NOT_APPLICABLE,SOURCE_SUPPORTED,NONE,Equation symbol or parameter.
N0207,thesis-writing/thesis/chapters/05_proxy_state_construction.tex,106,"\texttt{LAT\_CHRONIC\_BASELINE\_RISK} & Baseline vulnerability or limited reserve. & Age first value; BMI from height and weight first values; albumin minimum; ICU type first value. & Score at least 2 across age \(\ge 75\), BMI \(<18.5\) or \(\ge 40\), albumin \(<3.0\), or ICU type in \(\{1,3\}\). & Phenotyping context \cite{banda_2018_electronic_phenotyping","1,3",13,EQUATION_OR_SYMBOL,methods equation/specification,thesis-writing/thesis/chapters/05_proxy_state_construction.tex:13,13,NOT_APPLICABLE,NOT_APPLICABLE,BOTH_OR_NOT_APPLICABLE,SOURCE_SUPPORTED,NONE,Equation symbol or parameter.
N0208,thesis-writing/thesis/chapters/05_proxy_state_construction.tex,106,"\texttt{LAT\_CHRONIC\_BASELINE\_RISK} & Baseline vulnerability or limited reserve. & Age first value; BMI from height and weight first values; albumin minimum; ICU type first value. & Score at least 2 across age \(\ge 75\), BMI \(<18.5\) or \(\ge 40\), albumin \(<3.0\), or ICU type in \(\{1,3\}\). & Phenotyping context \cite{banda_2018_electronic_phenotyping",2018,2018,EQUATION_OR_SYMBOL,methods equation/specification,thesis-writing/thesis/chapters/05_proxy_state_construction.tex:2018,2018,NOT_APPLICABLE,NOT_APPLICABLE,BOTH_OR_NOT_APPLICABLE,SOURCE_SUPPORTED,NONE,Equation symbol or parameter.
N0209,thesis-writing/thesis/chapters/05_proxy_state_construction.tex,107,"\texttt{LAT\_GLOBAL\_SEVERITY} & Multi-domain acute physiologic severity. & Hemodynamic, respiratory, neurologic, renal, hepatic/coagulation, metabolic, cardiac summaries: minima, maxima, and helper flags. & At least 3 abnormal domains, or at least 2 domains plus a critical marker: lactate \(\ge 4.0\), pH \(<7.20\), mechanical ventilation, GCS \(\le 8\), or ",3,3,EQUATION_OR_SYMBOL,methods equation/specification,thesis-writing/thesis/chapters/05_proxy_state_construction.tex:3,3,NOT_APPLICABLE,NOT_APPLICABLE,BOTH_OR_NOT_APPLICABLE,SOURCE_SUPPORTED,NONE,Equation symbol or parameter.
N0210,thesis-writing/thesis/chapters/05_proxy_state_construction.tex,107,"\texttt{LAT\_GLOBAL\_SEVERITY} & Multi-domain acute physiologic severity. & Hemodynamic, respiratory, neurologic, renal, hepatic/coagulation, metabolic, cardiac summaries: minima, maxima, and helper flags. & At least 3 abnormal domains, or at least 2 domains plus a critical marker: lactate \(\ge 4.0\), pH \(<7.20\), mechanical ventilation, GCS \(\le 8\), or ",2,2,EQUATION_OR_SYMBOL,methods equation/specification,thesis-writing/thesis/chapters/05_proxy_state_construction.tex:2,2,NOT_APPLICABLE,NOT_APPLICABLE,BOTH_OR_NOT_APPLICABLE,SOURCE_SUPPORTED,NONE,Equation symbol or parameter.
N0211,thesis-writing/thesis/chapters/05_proxy_state_construction.tex,107,"\texttt{LAT\_GLOBAL\_SEVERITY} & Multi-domain acute physiologic severity. & Hemodynamic, respiratory, neurologic, renal, hepatic/coagulation, metabolic, cardiac summaries: minima, maxima, and helper flags. & At least 3 abnormal domains, or at least 2 domains plus a critical marker: lactate \(\ge 4.0\), pH \(<7.20\), mechanical ventilation, GCS \(\le 8\), or ",4.0,4.0,EQUATION_OR_SYMBOL,methods equation/specification,thesis-writing/thesis/chapters/05_proxy_state_construction.tex:4.0,4.0,NOT_APPLICABLE,NOT_APPLICABLE,BOTH_OR_NOT_APPLICABLE,SOURCE_SUPPORTED,NONE,Equation symbol or parameter.
N0212,thesis-writing/thesis/chapters/05_proxy_state_construction.tex,107,"\texttt{LAT\_GLOBAL\_SEVERITY} & Multi-domain acute physiologic severity. & Hemodynamic, respiratory, neurologic, renal, hepatic/coagulation, metabolic, cardiac summaries: minima, maxima, and helper flags. & At least 3 abnormal domains, or at least 2 domains plus a critical marker: lactate \(\ge 4.0\), pH \(<7.20\), mechanical ventilation, GCS \(\le 8\), or ",7.20,7.20,EQUATION_OR_SYMBOL,methods equation/specification,thesis-writing/thesis/chapters/05_proxy_state_construction.tex:7.20,7.20,NOT_APPLICABLE,NOT_APPLICABLE,BOTH_OR_NOT_APPLICABLE,SOURCE_SUPPORTED,NONE,Equation symbol or parameter.
N0213,thesis-writing/thesis/chapters/05_proxy_state_construction.tex,107,"\texttt{LAT\_GLOBAL\_SEVERITY} & Multi-domain acute physiologic severity. & Hemodynamic, respiratory, neurologic, renal, hepatic/coagulation, metabolic, cardiac summaries: minima, maxima, and helper flags. & At least 3 abnormal domains, or at least 2 domains plus a critical marker: lactate \(\ge 4.0\), pH \(<7.20\), mechanical ventilation, GCS \(\le 8\), or ",8,8,EQUATION_OR_SYMBOL,methods equation/specification,thesis-writing/thesis/chapters/05_proxy_state_construction.tex:8,8,NOT_APPLICABLE,NOT_APPLICABLE,BOTH_OR_NOT_APPLICABLE,SOURCE_SUPPORTED,NONE,Equation symbol or parameter.
N0214,thesis-writing/thesis/chapters/05_proxy_state_construction.tex,107,"\texttt{LAT\_GLOBAL\_SEVERITY} & Multi-domain acute physiologic severity. & Hemodynamic, respiratory, neurologic, renal, hepatic/coagulation, metabolic, cardiac summaries: minima, maxima, and helper flags. & At least 3 abnormal domains, or at least 2 domains plus a critical marker: lactate \(\ge 4.0\), pH \(<7.20\), mechanical ventilation, GCS \(\le 8\), or ",60,60,EQUATION_OR_SYMBOL,methods equation/specification,thesis-writing/thesis/chapters/05_proxy_state_construction.tex:60,60,NOT_APPLICABLE,NOT_APPLICABLE,BOTH_OR_NOT_APPLICABLE,SOURCE_SUPPORTED,NONE,Equation symbol or parameter.
N0215,thesis-writing/thesis/chapters/05_proxy_state_construction.tex,107,"\texttt{LAT\_GLOBAL\_SEVERITY} & Multi-domain acute physiologic severity. & Hemodynamic, respiratory, neurologic, renal, hepatic/coagulation, metabolic, cardiac summaries: minima, maxima, and helper flags. & At least 3 abnormal domains, or at least 2 domains plus a critical marker: lactate \(\ge 4.0\), pH \(<7.20\), mechanical ventilation, GCS \(\le 8\), or ",70,70,EQUATION_OR_SYMBOL,methods equation/specification,thesis-writing/thesis/chapters/05_proxy_state_construction.tex:70,70,NOT_APPLICABLE,NOT_APPLICABLE,BOTH_OR_NOT_APPLICABLE,SOURCE_SUPPORTED,NONE,Equation symbol or parameter.
N0216,thesis-writing/thesis/chapters/05_proxy_state_construction.tex,107,"\texttt{LAT\_GLOBAL\_SEVERITY} & Multi-domain acute physiologic severity. & Hemodynamic, respiratory, neurologic, renal, hepatic/coagulation, metabolic, cardiac summaries: minima, maxima, and helper flags. & At least 3 abnormal domains, or at least 2 domains plus a critical marker: lactate \(\ge 4.0\), pH \(<7.20\), mechanical ventilation, GCS \(\le 8\), or ",300,300,EQUATION_OR_SYMBOL,methods equation/specification,thesis-writing/thesis/chapters/05_proxy_state_construction.tex:300,300,NOT_APPLICABLE,NOT_APPLICABLE,BOTH_OR_NOT_APPLICABLE,SOURCE_SUPPORTED,NONE,Equation symbol or parameter.
N0217,thesis-writing/thesis/chapters/05_proxy_state_construction.tex,107,"\texttt{LAT\_GLOBAL\_SEVERITY} & Multi-domain acute physiologic severity. & Hemodynamic, respiratory, neurologic, renal, hepatic/coagulation, metabolic, cardiac summaries: minima, maxima, and helper flags. & At least 3 abnormal domains, or at least 2 domains plus a critical marker: lactate \(\ge 4.0\), pH \(<7.20\), mechanical ventilation, GCS \(\le 8\), or ",15,15,EQUATION_OR_SYMBOL,methods equation/specification,thesis-writing/thesis/chapters/05_proxy_state_construction.tex:15,15,NOT_APPLICABLE,NOT_APPLICABLE,BOTH_OR_NOT_APPLICABLE,SOURCE_SUPPORTED,NONE,Equation symbol or parameter.
N0218,thesis-writing/thesis/chapters/05_proxy_state_construction.tex,107,"\texttt{LAT\_GLOBAL\_SEVERITY} & Multi-domain acute physiologic severity. & Hemodynamic, respiratory, neurologic, renal, hepatic/coagulation, metabolic, cardiac summaries: minima, maxima, and helper flags. & At least 3 abnormal domains, or at least 2 domains plus a critical marker: lactate \(\ge 4.0\), pH \(<7.20\), mechanical ventilation, GCS \(\le 8\), or ",2.0,2.0,EQUATION_OR_SYMBOL,methods equation/specification,thesis-writing/thesis/chapters/05_proxy_state_construction.tex:2.0,2.0,NOT_APPLICABLE,NOT_APPLICABLE,BOTH_OR_NOT_APPLICABLE,SOURCE_SUPPORTED,NONE,Equation symbol or parameter.
N0219,thesis-writing/thesis/chapters/05_proxy_state_construction.tex,107,"\texttt{LAT\_GLOBAL\_SEVERITY} & Multi-domain acute physiologic severity. & Hemodynamic, respiratory, neurologic, renal, hepatic/coagulation, metabolic, cardiac summaries: minima, maxima, and helper flags. & At least 3 abnormal domains, or at least 2 domains plus a critical marker: lactate \(\ge 4.0\), pH \(<7.20\), mechanical ventilation, GCS \(\le 8\), or ",2.0,2.0,EQUATION_OR_SYMBOL,methods equation/specification,thesis-writing/thesis/chapters/05_proxy_state_construction.tex:2.0,2.0,NOT_APPLICABLE,NOT_APPLICABLE,BOTH_OR_NOT_APPLICABLE,SOURCE_SUPPORTED,NONE,Equation symbol or parameter.
N0220,thesis-writing/thesis/chapters/05_proxy_state_construction.tex,107,"\texttt{LAT\_GLOBAL\_SEVERITY} & Multi-domain acute physiologic severity. & Hemodynamic, respiratory, neurologic, renal, hepatic/coagulation, metabolic, cardiac summaries: minima, maxima, and helper flags. & At least 3 abnormal domains, or at least 2 domains plus a critical marker: lactate \(\ge 4.0\), pH \(<7.20\), mechanical ventilation, GCS \(\le 8\), or ",100,100,EQUATION_OR_SYMBOL,methods equation/specification,thesis-writing/thesis/chapters/05_proxy_state_construction.tex:100,100,NOT_APPLICABLE,NOT_APPLICABLE,BOTH_OR_NOT_APPLICABLE,SOURCE_SUPPORTED,NONE,Equation symbol or parameter.
N0221,thesis-writing/thesis/chapters/05_proxy_state_construction.tex,107,"\texttt{LAT\_GLOBAL\_SEVERITY} & Multi-domain acute physiologic severity. & Hemodynamic, respiratory, neurologic, renal, hepatic/coagulation, metabolic, cardiac summaries: minima, maxima, and helper flags. & At least 3 abnormal domains, or at least 2 domains plus a critical marker: lactate \(\ge 4.0\), pH \(<7.20\), mechanical ventilation, GCS \(\le 8\), or ",2.0,2.0,EQUATION_OR_SYMBOL,methods equation/specification,thesis-writing/thesis/chapters/05_proxy_state_construction.tex:2.0,2.0,NOT_APPLICABLE,NOT_APPLICABLE,BOTH_OR_NOT_APPLICABLE,SOURCE_SUPPORTED,NONE,Equation symbol or parameter.
N0222,thesis-writing/thesis/chapters/05_proxy_state_construction.tex,107,"\texttt{LAT\_GLOBAL\_SEVERITY} & Multi-domain acute physiologic severity. & Hemodynamic, respiratory, neurologic, renal, hepatic/coagulation, metabolic, cardiac summaries: minima, maxima, and helper flags. & At least 3 abnormal domains, or at least 2 domains plus a critical marker: lactate \(\ge 4.0\), pH \(<7.20\), mechanical ventilation, GCS \(\le 8\), or ",130,130,EQUATION_OR_SYMBOL,methods equation/specification,thesis-writing/thesis/chapters/05_proxy_state_construction.tex:130,130,NOT_APPLICABLE,NOT_APPLICABLE,BOTH_OR_NOT_APPLICABLE,SOURCE_SUPPORTED,NONE,Equation symbol or parameter.
N0223,thesis-writing/thesis/chapters/05_proxy_state_construction.tex,107,"\texttt{LAT\_GLOBAL\_SEVERITY} & Multi-domain acute physiologic severity. & Hemodynamic, respiratory, neurologic, renal, hepatic/coagulation, metabolic, cardiac summaries: minima, maxima, and helper flags. & At least 3 abnormal domains, or at least 2 domains plus a critical marker: lactate \(\ge 4.0\), pH \(<7.20\), mechanical ventilation, GCS \(\le 8\), or ",3,3,EQUATION_OR_SYMBOL,methods equation/specification,thesis-writing/thesis/chapters/05_proxy_state_construction.tex:3,3,NOT_APPLICABLE,NOT_APPLICABLE,BOTH_OR_NOT_APPLICABLE,SOURCE_SUPPORTED,NONE,Equation symbol or parameter.
N0224,thesis-writing/thesis/chapters/05_proxy_state_construction.tex,107,"\texttt{LAT\_GLOBAL\_SEVERITY} & Multi-domain acute physiologic severity. & Hemodynamic, respiratory, neurologic, renal, hepatic/coagulation, metabolic, cardiac summaries: minima, maxima, and helper flags. & At least 3 abnormal domains, or at least 2 domains plus a critical marker: lactate \(\ge 4.0\), pH \(<7.20\), mechanical ventilation, GCS \(\le 8\), or ",2016,2016,EQUATION_OR_SYMBOL,methods equation/specification,thesis-writing/thesis/chapters/05_proxy_state_construction.tex:2016,2016,NOT_APPLICABLE,NOT_APPLICABLE,BOTH_OR_NOT_APPLICABLE,SOURCE_SUPPORTED,NONE,Equation symbol or parameter.
N0225,thesis-writing/thesis/chapters/05_proxy_state_construction.tex,107,"\texttt{LAT\_GLOBAL\_SEVERITY} & Multi-domain acute physiologic severity. & Hemodynamic, respiratory, neurologic, renal, hepatic/coagulation, metabolic, cardiac summaries: minima, maxima, and helper flags. & At least 3 abnormal domains, or at least 2 domains plus a critical marker: lactate \(\ge 4.0\), pH \(<7.20\), mechanical ventilation, GCS \(\le 8\), or ",1996,1996,EQUATION_OR_SYMBOL,methods equation/specification,thesis-writing/thesis/chapters/05_proxy_state_construction.tex:1996,1996,NOT_APPLICABLE,NOT_APPLICABLE,BOTH_OR_NOT_APPLICABLE,SOURCE_SUPPORTED,NONE,Equation symbol or parameter.
N0226,thesis-writing/thesis/chapters/05_proxy_state_construction.tex,108,"\texttt{LAT\_SHOCK} & Circulatory shock or hemodynamic instability. & MAP, noninvasive MAP, systolic pressure, lactate, heart rate, urine helper, pH, bicarbonate. & At least 2 abnormal clauses among MAP \(<70\), SBP \(\le 90\), lactate \(>2.0\), HR \(\ge 110\), urine \(<500\), pH \(<7.30\), or bicarbonate \(<18\); also positive for low MAP with lactate \(\ge",2,2,EQUATION_OR_SYMBOL,methods equation/specification,thesis-writing/thesis/chapters/05_proxy_state_construction.tex:2,2,NOT_APPLICABLE,NOT_APPLICABLE,PhysioNet 2012,SOURCE_SUPPORTED,NONE,Equation symbol or parameter.
N0227,thesis-writing/thesis/chapters/05_proxy_state_construction.tex,108,"\texttt{LAT\_SHOCK} & Circulatory shock or hemodynamic instability. & MAP, noninvasive MAP, systolic pressure, lactate, heart rate, urine helper, pH, bicarbonate. & At least 2 abnormal clauses among MAP \(<70\), SBP \(\le 90\), lactate \(>2.0\), HR \(\ge 110\), urine \(<500\), pH \(<7.30\), or bicarbonate \(<18\); also positive for low MAP with lactate \(\ge",70,70,EQUATION_OR_SYMBOL,methods equation/specification,thesis-writing/thesis/chapters/05_proxy_state_construction.tex:70,70,NOT_APPLICABLE,NOT_APPLICABLE,PhysioNet 2012,SOURCE_SUPPORTED,NONE,Equation symbol or parameter.
N0228,thesis-writing/thesis/chapters/05_proxy_state_construction.tex,108,"\texttt{LAT\_SHOCK} & Circulatory shock or hemodynamic instability. & MAP, noninvasive MAP, systolic pressure, lactate, heart rate, urine helper, pH, bicarbonate. & At least 2 abnormal clauses among MAP \(<70\), SBP \(\le 90\), lactate \(>2.0\), HR \(\ge 110\), urine \(<500\), pH \(<7.30\), or bicarbonate \(<18\); also positive for low MAP with lactate \(\ge",90,90,EQUATION_OR_SYMBOL,methods equation/specification,thesis-writing/thesis/chapters/05_proxy_state_construction.tex:90,90,NOT_APPLICABLE,NOT_APPLICABLE,PhysioNet 2012,SOURCE_SUPPORTED,NONE,Equation symbol or parameter.
N0229,thesis-writing/thesis/chapters/05_proxy_state_construction.tex,108,"\texttt{LAT\_SHOCK} & Circulatory shock or hemodynamic instability. & MAP, noninvasive MAP, systolic pressure, lactate, heart rate, urine helper, pH, bicarbonate. & At least 2 abnormal clauses among MAP \(<70\), SBP \(\le 90\), lactate \(>2.0\), HR \(\ge 110\), urine \(<500\), pH \(<7.30\), or bicarbonate \(<18\); also positive for low MAP with lactate \(\ge",2.0,2.0,EQUATION_OR_SYMBOL,methods equation/specification,thesis-writing/thesis/chapters/05_proxy_state_construction.tex:2.0,2.0,NOT_APPLICABLE,NOT_APPLICABLE,PhysioNet 2012,SOURCE_SUPPORTED,NONE,Equation symbol or parameter.
N0230,thesis-writing/thesis/chapters/05_proxy_state_construction.tex,108,"\texttt{LAT\_SHOCK} & Circulatory shock or hemodynamic instability. & MAP, noninvasive MAP, systolic pressure, lactate, heart rate, urine helper, pH, bicarbonate. & At least 2 abnormal clauses among MAP \(<70\), SBP \(\le 90\), lactate \(>2.0\), HR \(\ge 110\), urine \(<500\), pH \(<7.30\), or bicarbonate \(<18\); also positive for low MAP with lactate \(\ge",110,110,EQUATION_OR_SYMBOL,methods equation/specification,thesis-writing/thesis/chapters/05_proxy_state_construction.tex:110,110,NOT_APPLICABLE,NOT_APPLICABLE,PhysioNet 2012,SOURCE_SUPPORTED,NONE,Equation symbol or parameter.
N0231,thesis-writing/thesis/chapters/05_proxy_state_construction.tex,108,"\texttt{LAT\_SHOCK} & Circulatory shock or hemodynamic instability. & MAP, noninvasive MAP, systolic pressure, lactate, heart rate, urine helper, pH, bicarbonate. & At least 2 abnormal clauses among MAP \(<70\), SBP \(\le 90\), lactate \(>2.0\), HR \(\ge 110\), urine \(<500\), pH \(<7.30\), or bicarbonate \(<18\); also positive for low MAP with lactate \(\ge",500,500,EQUATION_OR_SYMBOL,methods equation/specification,thesis-writing/thesis/chapters/05_proxy_state_construction.tex:500,500,NOT_APPLICABLE,NOT_APPLICABLE,PhysioNet 2012,SOURCE_SUPPORTED,NONE,Equation symbol or parameter.
N0232,thesis-writing/thesis/chapters/05_proxy_state_construction.tex,108,"\texttt{LAT\_SHOCK} & Circulatory shock or hemodynamic instability. & MAP, noninvasive MAP, systolic pressure, lactate, heart rate, urine helper, pH, bicarbonate. & At least 2 abnormal clauses among MAP \(<70\), SBP \(\le 90\), lactate \(>2.0\), HR \(\ge 110\), urine \(<500\), pH \(<7.30\), or bicarbonate \(<18\); also positive for low MAP with lactate \(\ge",7.30,7.30,EQUATION_OR_SYMBOL,methods equation/specification,thesis-writing/thesis/chapters/05_proxy_state_construction.tex:7.30,7.30,NOT_APPLICABLE,NOT_APPLICABLE,PhysioNet 2012,SOURCE_SUPPORTED,NONE,Equation symbol or parameter.
N0233,thesis-writing/thesis/chapters/05_proxy_state_construction.tex,108,"\texttt{LAT\_SHOCK} & Circulatory shock or hemodynamic instability. & MAP, noninvasive MAP, systolic pressure, lactate, heart rate, urine helper, pH, bicarbonate. & At least 2 abnormal clauses among MAP \(<70\), SBP \(\le 90\), lactate \(>2.0\), HR \(\ge 110\), urine \(<500\), pH \(<7.30\), or bicarbonate \(<18\); also positive for low MAP with lactate \(\ge",18,18,EQUATION_OR_SYMBOL,methods equation/specification,thesis-writing/thesis/chapters/05_proxy_state_construction.tex:18,18,NOT_APPLICABLE,NOT_APPLICABLE,PhysioNet 2012,SOURCE_SUPPORTED,NONE,Equation symbol or parameter.
N0234,thesis-writing/thesis/chapters/05_proxy_state_construction.tex,108,"\texttt{LAT\_SHOCK} & Circulatory shock or hemodynamic instability. & MAP, noninvasive MAP, systolic pressure, lactate, heart rate, urine helper, pH, bicarbonate. & At least 2 abnormal clauses among MAP \(<70\), SBP \(\le 90\), lactate \(>2.0\), HR \(\ge 110\), urine \(<500\), pH \(<7.30\), or bicarbonate \(<18\); also positive for low MAP with lactate \(\ge",4.0,4.0,EQUATION_OR_SYMBOL,methods equation/specification,thesis-writing/thesis/chapters/05_proxy_state_construction.tex:4.0,4.0,NOT_APPLICABLE,NOT_APPLICABLE,PhysioNet 2012,SOURCE_SUPPORTED,NONE,Equation symbol or parameter.
N0235,thesis-writing/thesis/chapters/05_proxy_state_construction.tex,108,"\texttt{LAT\_SHOCK} & Circulatory shock or hemodynamic instability. & MAP, noninvasive MAP, systolic pressure, lactate, heart rate, urine helper, pH, bicarbonate. & At least 2 abnormal clauses among MAP \(<70\), SBP \(\le 90\), lactate \(>2.0\), HR \(\ge 110\), urine \(<500\), pH \(<7.30\), or bicarbonate \(<18\); also positive for low MAP with lactate \(\ge",3,3,EQUATION_OR_SYMBOL,methods equation/specification,thesis-writing/thesis/chapters/05_proxy_state_construction.tex:3,3,NOT_APPLICABLE,NOT_APPLICABLE,PhysioNet 2012,SOURCE_SUPPORTED,NONE,Equation symbol or parameter.
N0236,thesis-writing/thesis/chapters/05_proxy_state_construction.tex,108,"\texttt{LAT\_SHOCK} & Circulatory shock or hemodynamic instability. & MAP, noninvasive MAP, systolic pressure, lactate, heart rate, urine helper, pH, bicarbonate. & At least 2 abnormal clauses among MAP \(<70\), SBP \(\le 90\), lactate \(>2.0\), HR \(\ge 110\), urine \(<500\), pH \(<7.30\), or bicarbonate \(<18\); also positive for low MAP with lactate \(\ge",2016,2016,EQUATION_OR_SYMBOL,methods equation/specification,thesis-writing/thesis/chapters/05_proxy_state_construction.tex:2016,2016,NOT_APPLICABLE,NOT_APPLICABLE,PhysioNet 2012,SOURCE_SUPPORTED,NONE,Equation symbol or parameter.
N0237,thesis-writing/thesis/chapters/05_proxy_state_construction.tex,109,"\texttt{LAT\_RESPIRATORY\_FAILURE} & Hypoxemia, ventilatory failure, or ventilatory support. & Mechanical ventilation flag; PF ratio; SaO2; PaO2; respiratory rate; PaCO2; pH. & At least 2 abnormal clauses or mechanical ventilation with PF \(<300\). Clauses include SaO2 \(<92\), PaO2 \(<60\), respiratory rate \(\ge 22\) or \(<8\), PaCO2 \(\ge 50\), or PaCO2 \",2,2,EQUATION_OR_SYMBOL,methods equation/specification,thesis-writing/thesis/chapters/05_proxy_state_construction.tex:2,2,NOT_APPLICABLE,NOT_APPLICABLE,BOTH_OR_NOT_APPLICABLE,SOURCE_SUPPORTED,NONE,Equation symbol or parameter.
