citation_key,chapter,section,line_or_context,citation_command,catalog_tier,catalog_topic,source_role,pdf_status,claim_family,usage_assessment,required_action,notes
bica_2021_individualized_treatment_effects_ehr_ml,Chapter 7,Matching and Heterogeneous-Effect Estimators,line 135,cite,core,DML and causal forests,REVIEW_OR_SURVEY,present,DML and causal forests,SUPPORTED_WITH_BOUNDARY,Retain explicit distinction between general method support and local implementation or causal validity.,"The source does not validate local execution, graph, or estimates."
lipkovich_2024_modern_hte_methods,Chapter 7,Matching and Heterogeneous-Effect Estimators,line 135,cite,core,DML and causal forests,REVIEW_OR_SURVEY,present,DML and causal forests,SUPPORTED_WITH_BOUNDARY,Retain explicit distinction between general method support and local implementation or causal validity.,"The source does not validate local execution, graph, or estimates."
curth_2024_ml_individualized_treatment_effects,Chapter 7,Matching and Heterogeneous-Effect Estimators,line 135,cite,core,DML and causal forests,REVIEW_OR_SURVEY,present,DML and causal forests,SUPPORTED_WITH_BOUNDARY,Retain explicit distinction between general method support and local implementation or causal validity.,"The source does not validate local execution, graph, or estimates."
iwashyna_2015_hte_critical_care,Chapter 7,Matching and Heterogeneous-Effect Estimators,line 135,cite,core,DML and causal forests,REVIEW_OR_SURVEY,present,DML and causal forests,SUPPORTED_WITH_BOUNDARY,Retain explicit distinction between general method support and local implementation or causal validity.,"The source does not validate local execution, graph, or estimates."
crump_et_al_2009_limited_overlap,Chapter 8,Overlap and Support Diagnostics,line 13,cite,core,overlap and sensitivity analysis,PRIMARY_METHOD,downloaded,overlap and sensitivity analysis,SUPPORTED_WITH_BOUNDARY,Retain explicit distinction between general method support and local implementation or causal validity.,"The source does not validate local execution, graph, or estimates."
cinelli_hazlett_2020_sensitivity,Chapter 8,Sensitivity and Robustness Values,line 40,cite,core,overlap and sensitivity analysis,PRIMARY_METHOD,downloaded,overlap and sensitivity analysis,SUPPORTED_WITH_BOUNDARY,Retain explicit distinction between general method support and local implementation or causal validity.,"The source does not validate local execution, graph, or estimates."
chernozhukov_et_al_2026_ovb_causal_ml,Chapter 8,Sensitivity and Robustness Values,line 40,cite,core,overlap and sensitivity analysis,PRIMARY_METHOD,downloaded,overlap and sensitivity analysis,SUPPORTED_WITH_BOUNDARY,Retain explicit distinction between general method support and local implementation or causal validity.,"The source does not validate local execution, graph, or estimates."
oprescu_et_al_2019_econml,Chapter 8,Sensitivity and Robustness Values,line 42,cite,core,software tooling,SOFTWARE_IMPLEMENTATION,downloaded,software tooling,SUPPORTED_WITH_BOUNDARY,Retain explicit distinction between general method support and local implementation or causal validity.,"The source does not validate local execution, graph, or estimates."
sharma_kiciman_2020_dowhy,Chapter 8,Permutation Checks and Reproducibility Validation,line 83,cite,core,software tooling,SOFTWARE_IMPLEMENTATION,downloaded,software tooling,SUPPORTED_WITH_BOUNDARY,Retain explicit distinction between general method support and local implementation or causal validity.,"The source does not validate local execution, graph, or estimates."
banda_2018_electronic_phenotyping,Chapter 11,"Answering the Research Questions: Proxy-State Construction, Prediction, and Aggregation",line 37,cite,core,clinical proxy phenotyping,REVIEW_OR_SURVEY,present,clinical proxy phenotyping,SUPPORTED_WITH_BOUNDARY,Retain explicit distinction between general method support and local implementation or causal validity.,"The source does not validate local execution, graph, or estimates."
essay_mosier_subbian_2020_acute_respiratory_failure_phenotyping,Chapter 11,"Answering the Research Questions: Proxy-State Construction, Prediction, and Aggregation",line 37,cite,core,clinical proxy phenotyping,APPLICATION_EXAMPLE,present,clinical proxy phenotyping,SUPPORTED,None; citation is aligned to the stated source role.,
ratner_et_al_2020_snorkel,Chapter 11,"Answering the Research Questions: Proxy-State Construction, Prediction, and Aggregation",line 37,cite,core,weak supervision,PRIMARY_METHOD,downloaded,weak supervision,SUPPORTED_WITH_BOUNDARY,Retain explicit distinction between general method support and local implementation or causal validity.,"The source does not validate local execution, graph, or estimates."
sun_2026_review_irregular_medical_timeseries,Chapter 11,"Answering the Research Questions: Proxy-State Construction, Prediction, and Aggregation",line 42,cite,core,irregular clinical time-series models,REVIEW_OR_SURVEY,present,irregular clinical time-series models,SUPPORTED_WITH_BOUNDARY,Retain explicit distinction between general method support and local implementation or causal validity.,"The source does not validate local execution, graph, or estimates."
lipton_kale_wetzel_2016_missingness_rnns,Chapter 11,"Answering the Research Questions: Proxy-State Construction, Prediction, and Aggregation",line 42,cite,core,irregular clinical time-series models,PRIMARY_METHOD,present,irregular clinical time-series models,SUPPORTED_WITH_BOUNDARY,Retain explicit distinction between general method support and local implementation or causal validity.,"The source does not validate local execution, graph, or estimates."
tipirneni2022strats,Chapter 11,"Answering the Research Questions: Proxy-State Construction, Prediction, and Aggregation",line 42,cite,core,irregular clinical time-series models,PRIMARY_METHOD,present,irregular clinical time-series models,SUPPORTED_WITH_BOUNDARY,Retain explicit distinction between general method support and local implementation or causal validity.,"The source does not validate local execution, graph, or estimates."
che2018grud,Chapter 11,"Answering the Research Questions: Proxy-State Construction, Prediction, and Aggregation",line 42,cite,core,irregular clinical time-series models,PRIMARY_METHOD,present,irregular clinical time-series models,SUPPORTED_WITH_BOUNDARY,Retain explicit distinction between general method support and local implementation or causal validity.,"The source does not validate local execution, graph, or estimates."
pearl_1995_causal_diagrams,Chapter 11,Answering the Research Questions: Adjusted Effect Estimation and Estimator Agreement,line 50,cite,core,causal identification and DAGs,PRIMARY_METHOD,present,causal identification and DAGs,SUPPORTED_WITH_BOUNDARY,Retain explicit distinction between general method support and local implementation or causal validity.,"The source does not validate local execution, graph, or estimates."
crump_et_al_2009_limited_overlap,Chapter 11,Answering the Research Questions: Adjusted Effect Estimation and Estimator Agreement,line 63,cite,core,overlap and sensitivity analysis,PRIMARY_METHOD,downloaded,overlap and sensitivity analysis,SUPPORTED_WITH_BOUNDARY,Retain explicit distinction between general method support and local implementation or causal validity.,"The source does not validate local execution, graph, or estimates."
cinelli_hazlett_2020_sensitivity,Chapter 11,Answering the Research Questions: Adjusted Effect Estimation and Estimator Agreement,line 63,cite,core,overlap and sensitivity analysis,PRIMARY_METHOD,downloaded,overlap and sensitivity analysis,SUPPORTED_WITH_BOUNDARY,Retain explicit distinction between general method support and local implementation or causal validity.,"The source does not validate local execution, graph, or estimates."
chernozhukov_et_al_2026_ovb_causal_ml,Chapter 11,Answering the Research Questions: Adjusted Effect Estimation and Estimator Agreement,line 63,cite,core,overlap and sensitivity analysis,PRIMARY_METHOD,downloaded,overlap and sensitivity analysis,SUPPORTED_WITH_BOUNDARY,Retain explicit distinction between general method support and local implementation or causal validity.,"The source does not validate local execution, graph, or estimates."
hernan_robins_2016_target_trial,Chapter 11,Answering the Research Questions: Relationship to Prior Work and Methodological Implications,line 79,cite,core,causal identification and DAGs,PRIMARY_METHOD,present,causal identification and DAGs,SUPPORTED_WITH_BOUNDARY,Retain explicit distinction between general method support and local implementation or causal validity.,"The source does not validate local execution, graph, or estimates."
hernan_taubman_2008_well_defined_interventions,Chapter 11,Answering the Research Questions: Relationship to Prior Work and Methodological Implications,line 79,cite,core,causal identification and DAGs,PRIMARY_METHOD,downloaded,causal identification and DAGs,SUPPORTED_WITH_BOUNDARY,Retain explicit distinction between general method support and local implementation or causal validity.,"The source does not validate local execution, graph, or estimates."
smit_2023_causal_inference_icu_scoping_review,Chapter 11,Answering the Research Questions: Relationship to Prior Work and Methodological Implications,line 79,cite,core,causal identification and DAGs,REVIEW_OR_SURVEY,present,causal identification and DAGs,SUPPORTED_WITH_BOUNDARY,Retain explicit distinction between general method support and local implementation or causal validity.,"The source does not validate local execution, graph, or estimates."
bica_2021_individualized_treatment_effects_ehr_ml,Chapter 11,Answering the Research Questions: Relationship to Prior Work and Methodological Implications,line 79,cite,core,DML and causal forests,REVIEW_OR_SURVEY,present,DML and causal forests,SUPPORTED_WITH_BOUNDARY,Retain explicit distinction between general method support and local implementation or causal validity.,"The source does not validate local execution, graph, or estimates."
lipkovich_2024_modern_hte_methods,Chapter 11,Answering the Research Questions: Relationship to Prior Work and Methodological Implications,line 79,cite,core,DML and causal forests,REVIEW_OR_SURVEY,present,DML and causal forests,SUPPORTED_WITH_BOUNDARY,Retain explicit distinction between general method support and local implementation or causal validity.,"The source does not validate local execution, graph, or estimates."
curth_2024_ml_individualized_treatment_effects,Chapter 11,Answering the Research Questions: Relationship to Prior Work and Methodological Implications,line 79,cite,core,DML and causal forests,REVIEW_OR_SURVEY,present,DML and causal forests,SUPPORTED_WITH_BOUNDARY,Retain explicit distinction between general method support and local implementation or causal validity.,"The source does not validate local execution, graph, or estimates."
iwashyna_2015_hte_critical_care,Chapter 11,Answering the Research Questions: Relationship to Prior Work and Methodological Implications,line 79,cite,core,DML and causal forests,REVIEW_OR_SURVEY,present,DML and causal forests,SUPPORTED_WITH_BOUNDARY,Retain explicit distinction between general method support and local implementation or causal validity.,"The source does not validate local execution, graph, or estimates."
