physical_page,printed_page,chapter_or_region,dpi_reviewed,page_specific_content,clipping,overlap,left_margin_intrusion,right_margin_intrusion,top_margin_intrusion,bottom_margin_intrusion,table_readability,caption_attachment,figure_layout,heading_layout,paragraph_spacing,rtl_ltr_quality,unintended_blank_page,warning_ids_on_page,required_action,page_specific_notes
82,70,Front matter or transition,300,Front matter or transition: Figure 10.1: Original-cohort MIMIC-III mean model-estimated CATE values from Causal- [figure],NO,NO,NO,NO,NO,NO,N/A,PASS,PASS,PASS,PASS,PASS,NO,None,NONE,Individually rendered and inspected at 300 DPI. Front matter or transition: Figure 10.1: Original-cohort MIMIC-III mean model-estimated CATE values from Causal- [figure] Warning localization: None.
83,71,Front matter or transition,300,Front matter or transition: Figure 10.2: Original-cohort PhysioNet mean model-estimated CATE values from Causal- [figure],NO,NO,NO,NO,NO,NO,N/A,PASS,PASS,PASS,PASS,PASS,NO,None,NONE,Individually rendered and inspected at 300 DPI. Front matter or transition: Figure 10.2: Original-cohort PhysioNet mean model-estimated CATE values from Causal- [figure] Warning localization: None.
84,72,Front matter or transition,300,Front matter or transition: Table 10.5: Original-cohort descriptive matching and empirical-support sum- [table],NO,NO,NO,NO,NO,NO,PASS,PASS,N/A,PASS,PASS,PASS,NO,None,NONE,Individually rendered and inspected at 300 DPI. Front matter or transition: Table 10.5: Original-cohort descriptive matching and empirical-support sum- [table] Warning localization: None.
85,73,Chapter 7,300,Chapter 7: estimator is unbiased. [table ; figure],NO,NO,NO,NO,NO,NO,PASS,PASS,PASS,PASS,PASS,PASS,NO,None,NONE,Individually rendered and inspected at 300 DPI. Chapter 7: estimator is unbiased. [table ; figure] Warning localization: None.
86,74,Chapter 11,300,Chapter 11: Dataset Proxy-state exposure CausalPFN Forest/Linear signs All three agree [prose/list],NO,NO,NO,NO,NO,NO,N/A,N/A,N/A,PASS,PASS,PASS,NO,OVERFULL-42; OVERFULL-43; OVERFULL-44,NONE,Individually rendered and inspected at 300 DPI. Chapter 11: Dataset Proxy-state exposure CausalPFN Forest/Linear signs All three agree [prose/list] Warning localization: OVERFULL-42; OVERFULL-43; OVERFULL-44.
87,75,Front matter or transition,300,"Front matter or transition: changed direction only for PhysioNet LAT_SHOCK, from 0.0041 to −0.0413. All 57 paired means [table]",NO,NO,NO,NO,NO,NO,PASS,PASS,N/A,PASS,PASS,PASS,NO,None,NONE,"Individually rendered and inspected at 300 DPI. Front matter or transition: changed direction only for PhysioNet LAT_SHOCK, from 0.0041 to −0.0413. All 57 paired means [table] Warning localization: None."
88,76,Front matter or transition,300,Front matter or transition: Dataset Estimator Sampling Matching Sensitivity Permutation [prose/list],NO,NO,NO,NO,NO,NO,N/A,N/A,N/A,PASS,PASS,PASS,NO,None,NONE,Individually rendered and inspected at 300 DPI. Front matter or transition: Dataset Estimator Sampling Matching Sensitivity Permutation [prose/list] Warning localization: None.
89,77,Front matter or transition,300,Front matter or transition: Figure 10.3: Directional concordance of the original-cohort mean model-estimated CATE across [figure],NO,NO,NO,NO,NO,NO,N/A,PASS,PASS,PASS,PASS,PASS,NO,None,NONE,Individually rendered and inspected at 300 DPI. Front matter or transition: Figure 10.3: Directional concordance of the original-cohort mean model-estimated CATE across [figure] Warning localization: None.
90,78,Chapter 11,300,Chapter 11: Chapter 11 [prose/list],NO,NO,NO,NO,NO,NO,N/A,N/A,N/A,PASS,PASS,PASS,NO,None,NONE,Individually rendered and inspected at 300 DPI. Chapter 11: Chapter 11 [prose/list] Warning localization: None.
91,79,Front matter or transition,300,"Front matter or transition: therefore supports auditable retrospective analysis and hypothesis generation, but it does not [prose/list]",NO,NO,NO,NO,NO,NO,N/A,N/A,N/A,PASS,PASS,PASS,NO,None,NONE,"Individually rendered and inspected at 300 DPI. Front matter or transition: therefore supports auditable retrospective analysis and hypothesis generation, but it does not [prose/list] Warning localization: None."
92,80,Front matter or transition,300,"Front matter or transition: label model [5, 21, 6]. [prose/list]",NO,NO,NO,NO,NO,NO,N/A,N/A,N/A,PASS,PASS,PASS,NO,OVERFULL-45,NONE,"Individually rendered and inspected at 300 DPI. Front matter or transition: label model [5, 21, 6]. [prose/list] Warning localization: OVERFULL-45."
93,81,Chapter 10,300,Chapter 10: CausalForestDML and LinearDML agreed in direction for all 19 original-cohort dataset– [prose/list],NO,NO,NO,NO,NO,NO,N/A,N/A,N/A,PASS,PASS,PASS,NO,None,NONE,Individually rendered and inspected at 300 DPI. Chapter 10: CausalForestDML and LinearDML agreed in direction for all 19 original-cohort dataset– [prose/list] Warning localization: None.
94,82,Front matter or transition,300,Front matter or transition: 11.1.5 Cross-Dataset Interpretation and Robustness [prose/list],NO,NO,NO,NO,NO,NO,N/A,N/A,N/A,PASS,PASS,PASS,NO,OVERFULL-46; OVERFULL-47,NONE,Individually rendered and inspected at 300 DPI. Front matter or transition: 11.1.5 Cross-Dataset Interpretation and Robustness [prose/list] Warning localization: OVERFULL-46; OVERFULL-47.
95,83,Front matter or transition,300,Front matter or transition: in observational ICU causal analysis and machine-learning HTE research: defining the target [table],NO,NO,NO,NO,NO,NO,PASS,PASS,N/A,PASS,PASS,PASS,NO,None,NONE,Individually rendered and inspected at 300 DPI. Front matter or transition: in observational ICU causal analysis and machine-learning HTE research: defining the target [table] Warning localization: None.
96,84,Front matter or transition,300,Front matter or transition: Question Evidence-based answer Strength of an- Principal boundary [prose/list],NO,NO,NO,NO,NO,NO,N/A,N/A,N/A,PASS,PASS,PASS,NO,None,NONE,Individually rendered and inspected at 300 DPI. Front matter or transition: Question Evidence-based answer Strength of an- Principal boundary [prose/list] Warning localization: None.
97,85,Front matter or transition,300,"Front matter or transition: across datasets. Prediction and majority voting introduce further classification error, and [prose/list]",NO,NO,NO,NO,NO,NO,N/A,N/A,N/A,PASS,PASS,PASS,NO,None,NONE,"Individually rendered and inspected at 300 DPI. Front matter or transition: across datasets. Prediction and majority voting introduce further classification error, and [prose/list] Warning localization: None."
98,86,Chapter 10,300,"Chapter 10: 11.2.3 Statistical, Modeling, and Support Limitations [prose/list]",NO,NO,NO,NO,NO,NO,N/A,N/A,N/A,PASS,PASS,PASS,NO,None,NONE,"Individually rendered and inspected at 300 DPI. Chapter 10: 11.2.3 Statistical, Modeling, and Support Limitations [prose/list] Warning localization: None."
99,87,Front matter or transition,300,"Front matter or transition: producing commands are unavailable, and some paths are absolute to the producing machine. [prose/list]",NO,NO,NO,NO,NO,NO,N/A,N/A,N/A,PASS,PASS,PASS,NO,None,NONE,"Individually rendered and inspected at 300 DPI. Front matter or transition: producing commands are unavailable, and some paths are absolute to the producing machine. [prose/list] Warning localization: None."
100,88,Front matter or transition,300,Front matter or transition: Table 11.2: Study-specific limitations and threats to validity. [table],NO,NO,NO,NO,NO,NO,PASS,PASS,N/A,PASS,PASS,PASS,NO,None,NONE,Individually rendered and inspected at 300 DPI. Front matter or transition: Table 11.2: Study-specific limitations and threats to validity. [table] Warning localization: None.
101,89,Chapter 12,300,Chapter 12: Chapter 12 [prose/list],NO,NO,NO,NO,NO,NO,N/A,N/A,N/A,PASS,PASS,PASS,NO,None,NONE,Individually rendered and inspected at 300 DPI. Chapter 12: Chapter 12 [prose/list] Warning localization: None.
102,90,Chapter 10,300,Chapter 10: checkout reproduction record. [prose/list],NO,NO,NO,NO,NO,NO,N/A,N/A,N/A,PASS,PASS,PASS,NO,None,NONE,Individually rendered and inspected at 300 DPI. Chapter 10: checkout reproduction record. [prose/list] Warning localization: None.
103,91,Front matter or transition,300,"Front matter or transition: ses, and permutation checks qualify particular risks but do not establish global overlap, balance, [prose/list]",NO,NO,NO,NO,NO,NO,N/A,N/A,N/A,PASS,PASS,PASS,NO,None,NONE,"Individually rendered and inspected at 300 DPI. Front matter or transition: ses, and permutation checks qualify particular risks but do not establish global overlap, balance, [prose/list] Warning localization: None."
104,92,Front matter or transition,300,Front matter or transition: 12.5 Closing Perspective [prose/list],NO,NO,NO,NO,NO,NO,N/A,N/A,N/A,PASS,PASS,PASS,NO,None,NONE,Individually rendered and inspected at 300 DPI. Front matter or transition: 12.5 Closing Perspective [prose/list] Warning localization: None.
105,93,Appendix A,300,Appendix A: Appendix A [prose/list],NO,NO,NO,NO,NO,NO,N/A,N/A,N/A,PASS,PASS,PASS,NO,None,NONE,Individually rendered and inspected at 300 DPI. Appendix A: Appendix A [prose/list] Warning localization: None.
106,94,Bibliography,300,Bibliography: Bibliography [prose/list],NO,NO,NO,NO,NO,NO,N/A,N/A,N/A,PASS,PASS,PASS,NO,None,NONE,Individually rendered and inspected at 300 DPI. Bibliography: Bibliography [prose/list] Warning localization: None.
107,95,Front matter or transition,300,Front matter or transition: [9] Miguel A. Hernan and Sarah L. Taubman. “Does Obesity Shorten Life? The Importance [prose/list],NO,NO,NO,NO,NO,NO,N/A,N/A,N/A,PASS,PASS,PASS,NO,OVERFULL-48,NONE,Individually rendered and inspected at 300 DPI. Front matter or transition: [9] Miguel A. Hernan and Sarah L. Taubman. “Does Obesity Shorten Life? The Importance [prose/list] Warning localization: OVERFULL-48.
108,96,Front matter or transition,300,"Front matter or transition: [19] Shaojie Bai, J. Zico Kolter, and Vladlen Koltun. “An Empirical Evaluation of Generic [prose/list]",NO,NO,NO,NO,NO,NO,N/A,N/A,N/A,PASS,PASS,PASS,NO,None,NONE,"Individually rendered and inspected at 300 DPI. Front matter or transition: [19] Shaojie Bai, J. Zico Kolter, and Vladlen Koltun. “An Empirical Evaluation of Generic [prose/list] Warning localization: None."
109,97,Front matter or transition,300,Front matter or transition: [28] Ilya Lipkovich et al. “Modern Approaches for Evaluating Treatment Effect Heterogeneity [prose/list],NO,NO,NO,NO,NO,NO,N/A,N/A,N/A,PASS,PASS,PASS,NO,None,NONE,Individually rendered and inspected at 300 DPI. Front matter or transition: [28] Ilya Lipkovich et al. “Modern Approaches for Evaluating Treatment Effect Heterogeneity [prose/list] Warning localization: None.
